NatEmis|GIS_Longitude|GIS_Latitude
200300445|28.26565|-32.30197
200300777|28.37149|-32.37505
200300447|27.78878|-32.25404
200300450|28.35267|-32.45037
200300454|28.26992|-32.46276
200300458|28.40487|-32.48896
200300460|28.50117|-32.33216
200300462|28.11093|-32.20425
200300463|28.00294|-32.36867
200300466|27.89731|-32.21409
200300471|28.15751|-32.07972
200300472|28.20454|-32.31643
200300473|28.19941|-32.15286
200300475|27.96135|-32.14294
200300434|27.9567|-32.14769
200300511|28.18911|-32.1409
200300484|28.06673|-32.48265
200300486|28.25144|-32.17834
200300502|28.1111|-32.08522
200300488|28.36237|-32.27064
200300491|28.0504|-32.4575
200300492|28.06435|-32.18193
200300813|28.22262|-32.48349
200300495|28.11401|-32.18714
200300497|28.01557|-32.37576
200300505|28.05529|-32.23698
200300509|27.93801|-32.44308
200300510|27.93961|-32.46671
200300513|27.84136|-32.25845
200300515|28.08916|-32.09995
200300521|27.89952|-32.18718
200300791|28.42612|-32.46105
200300524|27.80864|-32.3261
200300525|27.84768|-32.35945
200300526|28.45907|-32.424
200300528|28.40623|-32.54243
200300529|27.83405|-32.10101
200300530|28.27421|-32.55718
200300531|28.36253|-32.55967
200300532|28.34349|-32.46493
200300533|28.21545|-32.29897
200300536|28.31145|-32.50464
200300537|27.99506|-32.063
200300820|28.11108|-32.17642
200300540|28.37761|-32.6356
200300541|28.25915|-32.43762
200300544|27.93575|-32.388
200300545|28.15974|-32.45692
200300546|28.13641|-32.22017
200300547|28.2078|-32.44551
200300548|28.26249|-32.42213
200300549|28.20382|-32.12551
200300735|28.41325|-32.63386
200300550|28.29181|-32.58431
200300551|28.24538|-32.54152
200300790|28.25294|-32.52417
200300750|28.23612|-32.2482
200300552|28.3555|-32.37083
200300556|28.55286|-32.51044
200300096|.|.
200300557|28.19026|-32.32047
200300713|28.25905|-32.3329
200300561|27.96489|-32.42126
200300562|28.27795|-32.43875
200300563|28.25414|-32.59695
200300566|28.08391|-32.15452
200300570|28.01978|-32.09464
200300571|28.19484|-32.11001
200300815|28.35747|-32.6091
200300572|28.30336|-32.51025
200300573|27.82263|-32.36322
200300574|27.89948|-32.15986
200300575|28.16032|-32.31779
200300577|27.92199|-32.17549
200300578|28.1452|-32.60326
200300579|28.01304|-32.25253
200300580|28.33494|-32.47011
200300581|28.12312|-32.26753
200300823|27.83797|-32.23723
200300583|28.16723|-32.48324
200300586|27.87354|-32.31158
200300587|28.18367|-32.25116
200300588|28.25774|-32.36922
200300589|28.28126|-32.35318
200300718|28.3062|-32.3857
200300590|28.19632|-32.46645
200300593|28.11424|-32.47476
200300594|28.02558|-32.31866
200300599|28.47177|-32.42902
200300601|28.14706|-32.35254
200300602|27.97611|-32.10927
200300604|27.98318|-32.35762
200300606|28.06549|-32.43855
200300607|28.30074|-32.60372
200300608|28.21356|-32.08045
200300609|28.37506|-32.581283
200300614|28.31801|-32.57926
200300615|28.34276|-32.19176
200300737|27.95778|-32.30775
200300514|28.17432|-32.06965
200300617|28.06926|-32.38913
200300619|27.9696|-32.27064
200300620|28.04849|-32.36154
200300629|28.03684|-32.267981
200300630|27.94798|-32.18291
200300631|27.9267|-32.21282
200300633|27.81836|-32.19381
200300638|28.26546|-32.1985
200300640|28.14518|-32.36933
200300642|28.15805|-32.29496
